# This MeasurementStore object was saved on 27/07/2014 4:42:04 PM

# _FirstTime.Ticks
635420760626509650
# _PreviousTime.Ticks
635420761240970109
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
-1,635420760653370020,1,-19650790,36
-1,635420760653486800,2,-19650790,11
231.3929,635420760653638240,4,-19650790,4
-1,635420760653692800,3,-19650790,2
-1,635420760654079920,5,-19650789,36
-1,635420760654160380,6,-19650789,8
150.1335,635420760654260480,2,-19650789,21
-1,635420760654309020,1,-19650789,4
5.827295,635420760654509500,4,-19650789,11
-1,635420760654689720,3,-19650789,18
134.2826,635420760654921030,6,-19650788,20
-1,635420760655012720,5,-19650788,11
11.009,635420760655071900,1,-19650788,14
6.218047,635420760655179920,2,-19650788,10
128.4044,635420760655457480,3,-19650788,18
-1,635420760655812680,4,-19650787,35
5.895252,635420760655849660,6,-19650787,3
336.4032,635420760655870150,5,-19650787,1
5.94622,635420760656009780,1,-19650787,25
-1,635420760656482650,2,-19650787,48
-1,635420760656653000,3,-19650787,9
-1,635420760656815440,4,-19650786,16
-1,635420760657073860,5,-19650786,22
-1,635420760657096780,6,-19650786,2
-1,635420760657313450,1,-19650786,32
210.9889,635420760657626170,4,-19650786,22
-1,635420760657563800,2,-19650786,4
-1,635420760657692420,3,-19650786,2
-1,635420760657978730,5,-19650785,26
-1,635420760658193790,6,-19650785,21
142.4205,635420760658255860,2,-19650785,17
-1,635420760658371640,1,-19650785,11
234.349,635420760658479990,3,-19650785,0
5.844285,635420760658509680,4,-19650785,3
-1,635420760659079620,5,-19650784,56
-1,635420760659170200,6,-19650784,7
31.29411,635420760659083630,1,-19650784,4
6.235036,635420760659179900,2,-19650784,9
-1,635420760659496290,3,-19650784,20
-1,635420760659821260,4,-19650783,33
139.7362,635420760659924320,6,-19650783,8
-1,635420760659978720,5,-19650783,5
5.94622,635420760660072630,1,-19650783,19
317.9019,635420760660363420,2,-19650783,30
-1,635420760660688010,3,-19650783,22
-1,635420760660815440,4,-19650782,12
5.929231,635420760660849640,6,-19650782,6
143.9835,635420760660854310,5,-19650782,0
-1,635420760661370010,1,-19650782,59
-1,635420760661489410,2,-19650782,10
236.1499,635420760661640980,4,-19650782,6
-1,635420760661651260,3,-19650782,4
-1,635420760662079570,5,-19650781,38
-1,635420760662117490,6,-19650781,6
37.61409,635420760662403770,3,-19650781,28
-1,635420760662308870,1,-19650781,0
5.810307,635420760662509690,4,-19650781,9
-1,635420760662563770,2,-19650781,15
-1,635420760662978800,5,-19650780,30
17.00619,635420760663076380,1,-19650780,20
-1,635420760663267400,6,-19650780,8
130.4261,635420760663248870,2,-19650780,8
226.466,635420760663522880,3,-19650780,17
-1,635420760663812710,4,-19650779,28
157.286,635420760663833170,5,-19650779,1
-1,635420760664154080,6,-19650779,31
6.319983,635420760664072830,1,-19650779,1
6.218047,635420760664179870,2,-19650779,11
-1,635420760664659280,3,-19650779,37
-1,635420760664816000,4,-19650778,29
125.924,635420760664916140,6,-19650778,0
-1,635420760664983040,5,-19650778,4
-1,635420760665369910,1,-19650778,48
-1,635420760665489400,2,-19650778,11
231.9536,635420760665638550,4,-19650778,5
-1,635420760665648950,3,-19650778,0
5.878263,635420760665849630,6,-19650777,19
-1,635420760666075710,5,-19650777,21
-1,635420760666308830,1,-19650777,37
38.53151,635420760666404320,3,-19650777,0
5.793317,635420760666509630,4,-19650777,7
-1,635420760666573150,2,-19650777,18
139.0736,635420760666753950,5,-19650776,4
-1,635420760667097720,6,-19650776,36
31.99066,635420760667084130,1,-19650776,8
131.2246,635420760667249430,2,-19650776,15
73.64819,635420760667429050,3,-19650776,8
-1,635420760667813290,4,-19650775,39
-1,635420760667983090,5,-19650775,15
-1,635420760668159780,6,-19650775,16
6.319983,635420760668072780,1,-19650775,2
6.184069,635420760668179900,2,-19650775,10
-1,635420760668653640,3,-19650775,37
-1,635420760668815620,4,-19650774,20
-1,635420760669046430,5,-19650774,19
-1,635420760669157590,6,-19650774,10
-1,635420760669369880,1,-19650774,33
-1,635420760669491130,2,-19650774,12
257.947,635420760669653760,4,-19650774,5
-1,635420760669692680,3,-19650774,5
140.8575,635420760669924910,6,-19650773,19
-1,635420760670079670,5,-19650773,16
-1,635420760670308870,1,-19650773,33
234.417,635420760670480030,3,-19650773,7
10.72018,635420760670512570,4,-19650773,4
-1,635420760670563800,2,-19650773,15
5.929231,635420760670849610,6,-19650772,17
-1,635420760671075350,5,-19650772,22
173.7316,635420760671104320,1,-19650772,15
123.2396,635420760671244670,2,-19650772,12
-1,635420760671786460,3,-19650771,44
-1,635420760671818810,4,-19650771,2
303.0703,635420760671850530,5,-19650771,5
-1,635420760672152830,6,-19650771,28
6.421918,635420760672072850,1,-19650771,1
6.659766,635420760672180110,2,-19650771,11
-1,635420760672648890,3,-19650771,36
-1,635420760672815120,4,-19650770,23
-1,635420760673073820,5,-19650770,17
-1,635420760673157510,6,-19650770,9
-1,635420760673475720,1,-19650770,42
-1,635420760673516520,2,-19650770,5
223.323,635420760673633360,4,-19650770,8
-1,635420760673693380,3,-19650770,11
135.6078,635420760673922250,6,-19650769,9
-1,635420760674075690,5,-19650769,16
-1,635420760674371920,1,-19650769,38
5.878263,635420760674509580,4,-19650769,7
-1,635420760674486870,2,-19650769,6
-1,635420760674787590,3,-19650768,19
6.082133,635420760674849650,6,-19650768,4
-1,635420760675079430,5,-19650768,23
-1,635420760675236990,1,-19650768,26
135.2,635420760675251750,2,-19650768,1
-1,635420760675688580,3,-19650768,34
-1,635420760675819110,4,-19650767,12
-1,635420760675978720,5,-19650767,14
6.201058,635420760676010000,1,-19650767,14
-1,635420760676267920,6,-19650767,15
148.4516,635420760676263560,2,-19650767,9
96.87242,635420760676399120,3,-19650767,4
-1,635420760676808370,4,-19650766,42
299.6215,635420760676848520,5,-19650766,0
-1,635420760677149480,6,-19650766,31
-1,635420760677375790,1,-19650766,33
-1,635420760677490670,2,-19650766,12
221.2503,635420760677632260,4,-19650766,2
-1,635420760677654060,3,-19650766,2
124.9556,635420760677915560,6,-19650765,25
