# This MeasurementStore object was saved on 27/07/2014 4:24:05 PM

# _FirstTime.Ticks
635420749726319560
# _PreviousTime.Ticks
635420750453089133
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
6.710734,635420749772180160,2,-19661671,0
-1,635420749773482910,2,-19661670,3
-1,635420749774486870,2,-19661669,0
-1,635420749774819040,4,-19661668,26
143.9835,635420749775256810,2,-19661668,39
-1,635420749775095530,6,-19661668,4
-1,635420749775311650,1,-19661668,2
-1,635420749775815040,4,-19661667,55
125.5672,635420749776075990,1,-19661667,19
6.642777,635420749776180120,2,-19661667,10
-1,635420749776159240,6,-19661667,1
237.3731,635420749776641800,4,-19661667,49
6.336971,635420749777030540,1,-19661666,34
-1,635420749777155650,6,-19661666,17
-1,635420749777489510,2,-19661666,30
5.878263,635420749777509660,4,-19661666,8
156.9292,635420749777934450,6,-19661665,38
-1,635420749778313510,1,-19661665,35
-1,635420749778486910,2,-19661665,17
-1,635420749778819070,4,-19661664,38
5.929231,635420749778849630,6,-19661664,2
162.3658,635420749779267600,2,-19661664,37
-1,635420749779311190,1,-19661664,7
-1,635420749779815660,4,-19661663,55
19.89435,635420749780076730,1,-19661663,19
6.625788,635420749780180130,2,-19661663,10
-1,635420749780156780,6,-19661663,22
251.2533,635420749780649980,4,-19661663,29
-1,635420749781078920,1,-19661662,37
-1,635420749781156870,6,-19661662,11
-1,635420749781482800,2,-19661662,29
5.72536,635420749781509690,4,-19661662,6
167.4456,635420749781940660,6,-19661661,41
-1,635420749782370810,1,-19661661,41
-1,635420749782485360,2,-19661661,12
-1,635420749782819100,4,-19661660,36
5.980198,635420749782849710,6,-19661660,0
146.5318,635420749783258300,2,-19661660,37
-1,635420749783372390,1,-19661660,12
-1,635420749783814780,4,-19661659,46
87.81718,635420749784117300,1,-19661659,26
6.59181,635420749784180120,2,-19661659,6
-1,635420749784159260,6,-19661659,1
234.7568,635420749784640190,4,-19661659,52
-1,635420749785078910,1,-19661658,35
-1,635420749785155240,6,-19661658,10
-1,635420749785482740,2,-19661658,30
5.844285,635420749785509630,4,-19661658,20
133.0084,635420749785920400,6,-19661657,28
-1,635420749786469930,1,-19661657,49
-1,635420749786503040,2,-19661657,2
-1,635420749786819130,4,-19661656,37
5.94622,635420749786849690,6,-19661656,1
149.7938,635420749787260300,2,-19661656,42
-1,635420749787308820,1,-19661656,0
81.65009,635420749788112990,1,-19661655,80
-1,635420749787886270,4,-19661655,3
6.642777,635420749788180100,2,-19661655,8
-1,635420749788156780,6,-19661655,6
255.9253,635420749788652720,4,-19661655,41
6.404928,635420749789072810,1,-19661654,37
-1,635420749789155670,6,-19661654,12
-1,635420749789482640,2,-19661654,30
5.827295,635420749789509640,4,-19661654,6
146.7017,635420749789928470,6,-19661653,40
-1,635420749790313000,1,-19661653,34
-1,635420749790487290,2,-19661653,24
5.963209,635420749790849650,6,-19661652,33
-1,635420749790819100,4,-19661652,11
149.7598,635420749791263080,2,-19661652,26
-1,635420749791366460,1,-19661652,9
-1,635420749791815230,4,-19661651,49
6.099123,635420749792068500,1,-19661651,20
5.402566,635420749792179390,2,-19661651,12
-1,635420749792156810,6,-19661651,10
234.9097,635420749792640730,4,-19661651,38
-1,635420749793078930,1,-19661650,38
-1,635420749793155270,6,-19661650,12
-1,635420749793482590,2,-19661650,28
5.895252,635420749793509640,4,-19661650,21
131.5983,635420749793919570,6,-19661649,27
-1,635420749794312950,1,-19661649,34
-1,635420749794566380,2,-19661649,25
-1,635420749794818890,4,-19661648,30
5.929231,635420749794849650,6,-19661648,0
143.0661,635420749795256270,2,-19661648,38
-1,635420749795370170,1,-19661648,11
-1,635420749795814780,4,-19661647,48
99.62467,635420749796080030,1,-19661647,22
5.402566,635420749796179350,2,-19661647,11
-1,635420749796095780,6,-19661647,20
210.9549,635420749796626350,4,-19661647,28
6.353961,635420749797053100,1,-19661646,37
-1,635420749797160840,6,-19661646,14
-1,635420749797482830,2,-19661646,28
5.861274,635420749797509630,4,-19661646,6
-1,635420749798155830,6,-19661645,65
-1,635420749798312940,1,-19661645,11
-1,635420749798489420,2,-19661645,16
-1,635420749798819410,4,-19661644,37
144.2213,635420749798926960,6,-19661644,10
-1,635420749799371750,1,-19661644,42
-1,635420749799485820,2,-19661644,10
-1,635420749799814660,4,-19661643,39
5.94622,635420749799849670,6,-19661643,3
24.39649,635420749800079390,1,-19661643,43
325.0883,635420749800363480,2,-19661643,6
225.1239,635420749800634620,4,-19661643,26
6.269015,635420749801049360,1,-19661642,39
6.710734,635420749801180130,2,-19661642,11
-1,635420749801161140,6,-19661642,6
5.895252,635420749801509690,4,-19661642,43
139.5493,635420749802088410,1,-19661641,43
-1,635420749802156090,6,-19661641,18
-1,635420749802483140,2,-19661641,22
-1,635420749802818870,4,-19661640,38
143.6947,635420749802926690,6,-19661640,7
138.377,635420749803088290,1,-19661640,11
-1,635420749803482700,2,-19661640,39
-1,635420749803814730,4,-19661639,37
5.963209,635420749803849670,6,-19661639,4
141.2482,635420749804089470,1,-19661639,18
-1,635420749804478540,2,-19661639,39
241.9772,635420749804644410,4,-19661639,40
-1,635420749804816060,3,-19661638,1
-1,635420749805181240,6,-19661638,34
145.5295,635420749805257660,2,-19661638,2
-1,635420749805249660,5,-19661638,3
-1,635420749805312920,1,-19661638,3
5.74235,635420749805509710,4,-19661638,31
-1,635420749806030660,5,-19661637,43
-1,635420749806155630,6,-19661637,16
-1,635420749806371620,1,-19661637,15
-1,635420749805689060,3,-19661638,44
-1,635420749806812830,4,-19661636,6
-1,635420749806979100,5,-19661636,13
269.4487,635420749807000630,6,-19661636,4
44.63063,635420749807091220,1,-19661636,3
305.4998,635420749806521880,3,-19661637,48
6.014176,635420749807849580,6,-19661635,31
-1,635420749807911550,4,-19661635,8
6.286004,635420749808010020,1,-19661635,3
-1,635420749807982930,5,-19661635,0
-1,635420749807653370,3,-19661636,17
249.2316,635420749808648700,4,-19661635,51
-1,635420749808688800,3,-19661635,4
6.744713,635420749806180200,2,-19661637,42
-1,635420749807484310,2,-19661636,0
-1,635420749808479090,2,-19661635,0
130.0183,635420749809248680,2,-19661634,8
-1,635420749809273360,6,-19661634,10
133.1274,635420749809420380,3,-19661634,13
5.878263,635420749809509620,4,-19661634,9
-1,635420749810080300,5,-19661633,54
6.676755,635420749810180170,2,-19661633,9
-1,635420749810155680,6,-19661633,0
224.4273,635420749810524660,3,-19661633,36
-1,635420749810813230,4,-19661632,28
159.3417,635420749810935740,6,-19661632,14
-1,635420749811075350,5,-19661632,9
-1,635420749811485750,2,-19661632,37
-1,635420749811655650,3,-19661632,31
-1,635420749811815030,4,-19661631,5
-1,635420749809313100,1,-19661634,0
-1,635420749810371590,1,-19661633,0
120.4194,635420749811072940,1,-19661632,0
5.929231,635420749811855420,6,-19661631,9
182.1582,635420749811876180,5,-19661631,0
6.286004,635420749812009960,1,-19661631,5
-1,635420749812483650,2,-19661631,49
-1,635420749812649290,3,-19661631,20
270.4681,635420749812661350,4,-19661631,2
-1,635420749813079520,5,-19661630,39
-1,635420749813160870,6,-19661630,8
-1,635420749813313140,1,-19661630,12
-1,635420749813563800,2,-19661630,23
5.963209,635420749813509760,4,-19661630,15
73.00259,635420749813425060,3,-19661630,0
-1,635420749813978870,5,-19661629,31
-1,635420749814267410,6,-19661629,27
-1,635420749814309410,1,-19661629,0
-1,635420749814446690,2,-19661629,14
231.4269,635420749814522040,3,-19661629,18
-1,635420749814812810,4,-19661628,22
345.1186,635420749814875300,5,-19661628,5
173.9694,635420749814944490,6,-19661628,8
122.9848,635420749815074820,1,-19661628,9
-1,635420749815406810,2,-19661628,34
-1,635420749815686780,3,-19661628,31
-1,635420749815814750,4,-19661627,13
6.065145,635420749815849590,6,-19661627,5
6.353961,635420749816043600,1,-19661627,14
-1,635420749816079590,5,-19661627,5
-1,635420749816482610,2,-19661627,41
-1,635420749816649120,3,-19661627,17
273.679,635420749816665290,4,-19661627,5
-1,635420749816978820,5,-19661626,25
-1,635420749817267410,6,-19661626,32
-1,635420749817314250,1,-19661626,0
57.27059,635420749817415350,3,-19661626,14
-1,635420749817567660,2,-19661626,9
5.963209,635420749817509710,4,-19661626,1
155.1454,635420749817860080,5,-19661625,36
-1,635420749818149100,6,-19661625,24
133.5521,635420749818250670,2,-19661625,5
235.5892,635420749818524430,3,-19661625,32
-1,635420749818812810,4,-19661624,29
159.7664,635420749818935990,6,-19661624,9
-1,635420749819079600,5,-19661624,19
6.659766,635420749819180180,2,-19661624,4
5.861274,635420749819849630,6,-19661623,68
-1,635420749819654810,3,-19661624,7
-1,635420749819814900,4,-19661623,0
-1,635420749820002310,5,-19661623,7
-1,635420749820483420,2,-19661623,44
-1,635420749820649230,3,-19661623,32
270.3152,635420749820661260,4,-19661623,2
153.2426,635420749820859420,5,-19661622,6
-1,635420749818366960,1,-19661625,6
130.2052,635420749819078670,1,-19661624,0
6.319983,635420749820072880,1,-19661623,0
-1,635420749821095850,6,-19661622,17
-1,635420749821313770,1,-19661622,18
44.34181,635420749821407880,3,-19661622,18
5.878263,635420749821509630,4,-19661622,6
-1,635420749821570890,2,-19661622,30
-1,635420749822150490,5,-19661621,31
-1,635420749822192610,6,-19661621,4
136.933,635420749822252580,2,-19661621,12
-1,635420749822372640,1,-19661621,1
-1,635420749822696320,3,-19661621,38
-1,635420749822818950,4,-19661620,21
130.8508,635420749823079060,1,-19661620,12
-1,635420749823075330,5,-19661620,2
6.659766,635420749823180120,2,-19661620,8
-1,635420749823156800,6,-19661620,2
-1,635420749823648830,3,-19661620,48
319.4479,635420749823860170,5,-19661619,19
-1,635420749823879570,4,-19661619,2
138.9716,635420749823923860,6,-19661619,3
6.387939,635420749824072820,1,-19661619,11
-1,635420749824482590,2,-19661619,41
133.3652,635420749824460270,3,-19661619,1
302.1699,635420749824679940,4,-19661619,24
6.031166,635420749824849600,6,-19661618,13
-1,635420749825079600,5,-19661618,23
-1,635420749825312910,1,-19661618,19
-1,635420749825566530,2,-19661618,25
250.5567,635420749825527440,3,-19661618,4
5.963209,635420749825509590,4,-19661618,0
-1,635420749825979240,5,-19661617,41
159.6645,635420749826266540,2,-19661617,22
-1,635420749826267360,6,-19661617,8
-1,635420749826371700,1,-19661617,4
-1,635420749826686610,3,-19661617,36
138.9547,635420749826850530,5,-19661616,16
-1,635420749826818970,4,-19661616,0
12.97975,635420749827076470,1,-19661616,16
-1,635420749827149000,6,-19661616,13
6.642777,635420749827180110,2,-19661616,-1
-1,635420749827648770,3,-19661616,50
-1,635420749827924230,4,-19661615,28
175.3965,635420749827945250,6,-19661615,0
6.353961,635420749828009970,1,-19661615,2
-1,635420749828073700,5,-19661615,10
-1,635420749828482870,2,-19661615,38
55.62264,635420749828414600,3,-19661615,4
251.2533,635420749828649950,4,-19661615,16
5.895252,635420749828849630,6,-19661614,19
-1,635420749828995490,5,-19661614,14
-1,635420749829313140,1,-19661614,28
5.827295,635420749829509630,4,-19661614,27
-1,635420749829563780,2,-19661614,0
250.3359,635420749829527360,3,-19661614,0
13.25158,635420749829776550,5,-19661613,23
-1,635420749830152610,6,-19661613,37
-1,635420749830308830,1,-19661613,12
-1,635420749830574860,2,-19661613,27
-1,635420749830687930,3,-19661613,16
-1,635420749830819060,4,-19661612,12
32.92507,635420749831084350,1,-19661612,22
-1,635420749831079600,5,-19661612,2
-1,635420749831156620,6,-19661612,8
325.1733,635420749831363520,2,-19661612,16
-1,635420749831649160,3,-19661612,33
-1,635420749831814990,4,-19661611,21
133.0424,635420749831920310,6,-19661611,3
-1,635420749831979250,5,-19661611,5
6.353961,635420749832010020,1,-19661611,0
6.727723,635420749832180150,2,-19661611,16
73.05357,635420749832424890,3,-19661611,30
302.068,635420749832679890,4,-19661611,26
301.7621,635420749832849730,5,-19661610,14
33.14593,635420749832865790,6,-19661610,2
-1,635420749833376240,1,-19661610,49
71.21872,635420749833427650,3,-19661610,8
5.912242,635420749833509710,4,-19661610,10
-1,635420749834079730,5,-19661609,56
-1,635420749834159540,6,-19661609,7
-1,635420749834308790,1,-19661609,10
-1,635420749834692380,3,-19661609,42
-1,635420749834818990,4,-19661608,13
-1,635420749834978850,5,-19661608,12
248.1612,635420749835152080,1,-19661608,13
-1,635420749835183200,6,-19661608,7
-1,635420749835648810,3,-19661608,47
134.3336,635420749835847890,5,-19661607,18
145.5805,635420749835927740,6,-19661607,9
-1,635420749835880030,4,-19661607,5
-1,635420749836078310,1,-19661607,3
-1,635420749833490960,2,-19661610,19
-1,635420749834574910,2,-19661609,0
138.2411,635420749835255390,2,-19661608,0
5.691382,635420749836179940,2,-19661607,3
121.8635,635420749836453440,3,-19661607,30
302.2549,635420749836680030,4,-19661607,15
5.980198,635420749836849670,6,-19661606,12
-1,635420749836983020,5,-19661606,14
-1,635420749837370050,1,-19661606,34
-1,635420749837447770,2,-19661606,8
5.980198,635420749837509660,4,-19661606,10
239.9385,635420749837527100,3,-19661606,13
-1,635420749837978740,5,-19661605,34
-1,635420749838097140,6,-19661605,14
-1,635420749838372160,1,-19661605,19
-1,635420749838491080,2,-19661605,12
-1,635420749838687010,3,-19661605,24
-1,635420749838819050,4,-19661604,14
146.5149,635420749839088350,1,-19661604,18
-1,635420749839079500,5,-19661604,3
-1,635420749839160830,6,-19661604,9
-1,635420749839479520,2,-19661604,36
-1,635420749839648860,3,-19661604,19
-1,635420749839814860,4,-19661603,19
6.37095,635420749840009990,1,-19661603,5
-1,635420749840157610,6,-19661603,19
146.0901,635420749840258060,2,-19661603,6
69.41787,635420749840424410,3,-19661603,21
239.055,635420749840642800,4,-19661603,22
158.849,635420749840935560,6,-19661602,27
6.79568,635420749841180060,2,-19661602,20
-1,635420749841375960,1,-19661602,20
6.642777,635420749841510070,4,-19661602,17
-1,635420749841686840,3,-19661602,17
5.94622,635420749841849680,6,-19661601,15
-1,635420749842308790,1,-19661601,41
-1,635420749842563790,2,-19661601,25
-1,635420749842648630,3,-19661601,13
-1,635420749842880380,4,-19661600,26
-1,635420749843095730,6,-19661600,19
228.114,635420749843136250,1,-19661600,0
-1,635420749843479070,2,-19661600,33
56.45511,635420749843417280,3,-19661600,0
-1,635420749843808510,4,-19661599,43
-1,635420749844050380,1,-19661599,13
-1,635420749844096600,6,-19661599,9
325.1223,635420749844363470,2,-19661599,21
-1,635420749840075640,5,-19661603,34
167.7853,635420749840867780,5,-19661602,0
-1,635420749842150030,5,-19661601,0
-1,635420749842979430,5,-19661600,0
134.3336,635420749843847890,5,-19661599,0
238.1546,635420749844642240,4,-19661599,5
-1,635420749844653060,3,-19661599,0
-1,635420749845160910,6,-19661598,49
6.778691,635420749845180130,2,-19661598,0
-1,635420749845074070,5,-19661598,0
5.878263,635420749845509610,4,-19661598,31
247.4987,635420749845527420,3,-19661598,1
-1,635420749845978960,5,-19661597,44
-1,635420749846267390,6,-19661597,27
-1,635420749846492540,2,-19661597,22
-1,635420749846686540,3,-19661597,21
147.857,635420749846759080,5,-19661596,5
-1,635420749846818940,4,-19661596,20
140.5347,635420749846925310,6,-19661596,1
-1,635420749847479200,2,-19661596,47
-1,635420749847648850,3,-19661596,21
5.94622,635420749847849630,6,-19661595,20
-1,635420749847911870,4,-19661595,5
-1,635420749845376680,1,-19661598,1
-1,635420749846371820,1,-19661597,0
247.8724,635420749847147980,1,-19661596,0
-1,635420749848074180,5,-19661595,17
6.421918,635420749848073470,1,-19661595,1
324.5277,635420749848363130,2,-19661595,20
55.45275,635420749848420440,3,-19661595,11
237.1013,635420749848641610,4,-19661595,21
-1,635420749849075360,5,-19661594,41
-1,635420749849095980,6,-19661594,2
6.761702,635420749849180150,2,-19661594,5
-1,635420749849375900,1,-19661594,19
5.929231,635420749849509600,4,-19661594,18
-1,635420749849691440,3,-19661594,19
-1,635420749849784340,5,-19661593,6
-1,635420749850095690,6,-19661593,31
-1,635420749850372380,1,-19661593,27
-1,635420749850491240,2,-19661593,8
-1,635420749850693690,3,-19661593,24
-1,635420749850819050,4,-19661592,12
-1,635420749850983010,5,-19661592,14
-1,635420749851096690,6,-19661592,12
125.805,635420749851139140,1,-19661592,1
-1,635420749851481950,2,-19661592,32
128.7272,635420749851417860,3,-19661592,1
